tipoDocumento,numeroDocumento,nombreCompleto,caracterizacion
CE,57781671,Carmen González,INHABILITAR
PA,05703142,Carmen García,EMBARGAR
CC,83456596,Pedro López,EMBARGAR
CC,98221726,María García,INHABILITAR
CC,83485741,Juan Martínez,EMBARGAR
CE,14333716,Ana Pérez,EMBARGAR
CC,66745757,María González,EMBARGAR
CC,90961176,Patricia Rodríguez,INHABILITAR
CE,05277759,Patricia González,EMBARGAR
CC,47889171,Pedro López,INHABILITAR
CE,30419969,Juan González,INHABILITAR
PA,67839063,Patricia García,EMBARGAR
CE,27397120,Patricia Sánchez,INHABILITAR
PA,90505444,Ana López,INHABILITAR
CE,49818967,Ana González,EMBARGAR
CC,51002343,Luis González,EMBARGAR
CE,67173046,Juan Pérez,EMBARGAR
PA,13852301,José Pérez,INHABILITAR
PA,02178099,Pedro Rodríguez,EMBARGAR
CE,96716227,Luis Sánchez,INHABILITAR
CC,17975401,Patricia Sánchez,EMBARGAR
CE,59148975,Pedro Martínez,EMBARGAR
CC,09175706,Luis Rodríguez,INHABILITAR
CC,24851920,Ana Martínez,INHABILITAR
CE,22674353,Pedro Sánchez,INHABILITAR
CC,80603736,Ana Sánchez,INHABILITAR
PA,87048087,María Rodríguez,INHABILITAR
PA,70851408,Carmen González,EMBARGAR
PA,58116407,Juan González,INHABILITAR
CC,04716636,María Sánchez,INHABILITAR
PA,07333950,Pedro Pérez,INHABILITAR
CC,39526446,Carmen López,INHABILITAR
CE,19087393,María García,INHABILITAR
CE,05916364,Carmen Sánchez,EMBARGAR
CC,39453508,Luis Pérez,EMBARGAR
PA,31274593,Pedro Pérez,EMBARGAR
CE,00118811,Patricia Sánchez,EMBARGAR
PA,10890502,Pedro Martínez,EMBARGAR
CE,98529284,Ana González,INHABILITAR
PA,02651031,Patricia Rodríguez,INHABILITAR
CE,80489627,Luis López,INHABILITAR
CC,89221965,José González,INHABILITAR
CC,58055004,José López,EMBARGAR
CE,44021616,Ana García,EMBARGAR
CE,56741796,Carmen García,EMBARGAR
PA,29232145,José González,INHABILITAR
CC,73353274,Pedro Rodríguez,INHABILITAR
CC,17020773,Luis García,INHABILITAR
PA,46498452,Pedro Sánchez,EMBARGAR
CE,48113133,Luis Rodríguez,INHABILITAR
CE,21149000,María González,INHABILITAR
PA,88473674,Ana Sánchez,EMBARGAR
CC,22622761,José Rodríguez,INHABILITAR
PA,42770733,Carmen López,EMBARGAR
PA,43458228,Pedro Sánchez,INHABILITAR
PA,87695213,Carmen García,EMBARGAR
CC,79087764,Carmen González,INHABILITAR
PA,85969673,María Sánchez,EMBARGAR
CE,39307801,Luis Pérez,INHABILITAR
CE,52960089,Patricia Martínez,INHABILITAR
CE,79592884,Carmen Rodríguez,INHABILITAR
CC,39519858,Patricia Pérez,EMBARGAR
PA,41020555,José Sánchez,EMBARGAR
CE,00529724,Pedro Pérez,EMBARGAR
CC,66106228,Ana Pérez,INHABILITAR
PA,56395143,Juan Martínez,INHABILITAR
PA,92829374,María López,INHABILITAR
CE,77666529,Carmen García,EMBARGAR
CC,10543680,Luis García,INHABILITAR
PA,23313829,Carmen Martínez,EMBARGAR
CE,19205718,Patricia Rodríguez,INHABILITAR
CE,80788314,José Rodríguez,INHABILITAR
