tipoDocumento,numeroDocumento,nombreCompleto,caracterizacion
CC,25807117,Patricia López,EMBARGAR
CC,19623185,Carmen Martínez,INHABILITAR
CE,36395217,Patricia González,INHABILITAR
CE,37876008,Carmen Pérez,EMBARGAR
CE,09046227,Luis Sánchez,INHABILITAR
CC,94428377,Ana Martínez,INHABILITAR
CE,65974628,Patricia Rodríguez,EMBARGAR
CE,66945859,Patricia Rodríguez,INHABILITAR
CC,98836564,Carmen Martínez,INHABILITAR
CC,51306104,María García,EMBARGAR
PA,34954207,Ana García,INHABILITAR
PA,70715778,José Rodríguez,EMBARGAR
PA,76836390,Luis López,EMBARGAR
CC,68648326,Carmen Pérez,INHABILITAR
CE,56865393,Pedro González,INHABILITAR
CC,17189112,Luis Pérez,INHABILITAR
PA,75193925,Patricia López,EMBARGAR
CE,80888686,Juan López,INHABILITAR
PA,69861770,María Martínez,EMBARGAR
CC,30535848,Carmen Pérez,INHABILITAR
CC,37495604,Pedro Sánchez,INHABILITAR
CC,02865750,Ana Sánchez,EMBARGAR
PA,77179195,Pedro López,INHABILITAR
PA,86996531,Pedro García,EMBARGAR
CC,17853234,Pedro Sánchez,INHABILITAR
CC,25947114,Patricia González,EMBARGAR
PA,97641181,Juan López,EMBARGAR
CC,37233453,Juan Pérez,INHABILITAR
CE,70553891,José Martínez,INHABILITAR
CC,95670875,Juan Martínez,EMBARGAR
CC,47385826,Patricia Pérez,EMBARGAR
CE,26727786,Carmen Pérez,EMBARGAR
CE,28496304,María Pérez,INHABILITAR
CE,28113258,Patricia García,INHABILITAR
CC,48259428,María López,EMBARGAR
PA,56812942,María Rodríguez,EMBARGAR
PA,54211761,Pedro González,EMBARGAR
CE,90579028,María Rodríguez,INHABILITAR
CE,30002173,María González,INHABILITAR
CC,48646659,Patricia González,INHABILITAR
CC,57118171,Juan Pérez,INHABILITAR
CE,83016780,Carmen Rodríguez,EMBARGAR
PA,68070595,Patricia García,INHABILITAR
PA,15500937,Juan Rodríguez,INHABILITAR
PA,79417477,Carmen García,INHABILITAR
CC,54985380,Juan Pérez,EMBARGAR
CC,25970786,Pedro Martínez,INHABILITAR
PA,56524650,Patricia Sánchez,EMBARGAR
CE,18057876,Pedro Pérez,INHABILITAR
CE,83007370,Pedro Rodríguez,INHABILITAR
CE,88446804,Ana González,INHABILITAR
PA,79585865,Patricia Martínez,EMBARGAR
CE,11350661,José González,EMBARGAR
CE,36353387,María López,EMBARGAR
CC,52531185,Pedro González,INHABILITAR
CE,89535919,Carmen Rodríguez,EMBARGAR
CE,37941226,Luis López,INHABILITAR
PA,42479672,Luis Rodríguez,EMBARGAR
CE,40321809,José Sánchez,EMBARGAR
PA,67549420,Carmen González,INHABILITAR
CC,41103004,María Pérez,INHABILITAR
CC,11301997,Luis González,EMBARGAR
CE,43928620,Juan Sánchez,INHABILITAR
CC,62740265,Ana González,INHABILITAR
CC,16912246,Juan Pérez,INHABILITAR
CC,94280254,Patricia Rodríguez,INHABILITAR
PA,51437317,María González,INHABILITAR
PA,45265566,José Rodríguez,EMBARGAR
CC,84510878,Juan Martínez,INHABILITAR
CE,73677285,Carmen Pérez,INHABILITAR
CC,89278968,María Rodríguez,EMBARGAR
CC,86887317,Patricia Sánchez,EMBARGAR
CC,16810703,Pedro Sánchez,INHABILITAR
PA,52298861,Ana García,INHABILITAR
CE,97633868,José García,INHABILITAR
CC,72262342,Ana López,EMBARGAR
CE,28669406,Juan González,INHABILITAR
CC,99740872,Ana Sánchez,EMBARGAR
CE,05691213,Carmen Martínez,INHABILITAR
PA,27798134,Pedro López,INHABILITAR
CE,56273563,José Sánchez,EMBARGAR
CC,04987774,Ana García,EMBARGAR
CE,78935393,Luis Pérez,EMBARGAR
CE,92389117,Carmen Pérez,EMBARGAR
CE,87522006,Pedro Pérez,INHABILITAR
PA,16811182,María García,EMBARGAR
CC,83830685,Patricia González,INHABILITAR
PA,79769938,Patricia Martínez,INHABILITAR
PA,19562516,Ana García,INHABILITAR
PA,86925102,Pedro López,EMBARGAR
PA,87294078,Ana López,EMBARGAR
PA,47453350,Pedro García,EMBARGAR
CC,28246265,Luis Sánchez,EMBARGAR
CE,84685589,María García,INHABILITAR
PA,07708873,José García,INHABILITAR
CE,72937526,Patricia López,INHABILITAR
PA,25065025,Patricia García,EMBARGAR
CC,85502307,Luis Sánchez,INHABILITAR
PA,77430796,Patricia González,INHABILITAR
CC,51213392,Carmen López,EMBARGAR
CE,56524622,Patricia Sánchez,INHABILITAR
CE,56643276,María González,EMBARGAR
CE,46298303,Luis López,EMBARGAR
CE,82889314,Pedro Sánchez,INHABILITAR
PA,98506073,José Martínez,INHABILITAR
CE,00370773,José Martínez,EMBARGAR
CC,80132389,Patricia García,EMBARGAR
CE,61428361,Pedro González,EMBARGAR
PA,88902956,Patricia González,INHABILITAR
CC,78365126,Luis Pérez,INHABILITAR
PA,22320078,María Pérez,INHABILITAR
CE,06434325,María Martínez,EMBARGAR
PA,04756759,María Rodríguez,EMBARGAR
CC,62239306,Carmen Rodríguez,INHABILITAR
PA,72152913,Luis Sánchez,EMBARGAR
PA,81940315,Carmen López,EMBARGAR
CE,98935011,Patricia Sánchez,EMBARGAR
CE,11042531,Ana López,INHABILITAR
CE,23482720,Juan Martínez,INHABILITAR
CC,81195077,Luis Rodríguez,EMBARGAR
CC,29916771,Pedro Pérez,EMBARGAR
CE,14688110,Juan Martínez,INHABILITAR
PA,28263939,María Pérez,INHABILITAR
CE,50789835,Carmen Pérez,INHABILITAR
CE,68424419,Luis González,INHABILITAR
CC,66429378,Juan Pérez,EMBARGAR
CE,83760705,Pedro Pérez,INHABILITAR
PA,31073276,Juan Pérez,EMBARGAR
CE,11071559,Patricia Sánchez,INHABILITAR
CE,55724723,María Sánchez,INHABILITAR
CC,56449341,Juan Pérez,EMBARGAR
PA,07727281,Luis López,EMBARGAR
CE,25803601,María González,EMBARGAR
CE,85297507,José García,EMBARGAR
CC,39351919,Juan López,INHABILITAR
CC,33894730,Juan Martínez,INHABILITAR
CC,57489398,Patricia López,INHABILITAR
CE,99032682,Ana Sánchez,EMBARGAR
CE,89565136,María Pérez,EMBARGAR
CC,90134073,José Rodríguez,EMBARGAR
CE,03206388,Juan González,EMBARGAR
CE,89573097,Luis Martínez,INHABILITAR
CE,25616143,Ana Sánchez,INHABILITAR
PA,17881069,José Pérez,EMBARGAR
CE,48443289,Pedro Martínez,EMBARGAR
CE,88058042,Juan López,INHABILITAR
CE,61871718,Luis Sánchez,EMBARGAR
CE,42605792,Carmen Martínez,INHABILITAR
CE,87963682,Patricia Rodríguez,EMBARGAR
CC,81516501,Carmen Sánchez,EMBARGAR
CC,97355534,María Martínez,EMBARGAR
PA,47819709,Luis Rodríguez,EMBARGAR
CE,13837756,Ana González,EMBARGAR
CE,54291908,José García,EMBARGAR
CC,54046501,Juan González,INHABILITAR
CC,99991711,Carmen Sánchez,INHABILITAR
CC,21210203,Luis Pérez,EMBARGAR
CC,85175594,Ana Sánchez,INHABILITAR
CC,04395416,Pedro Martínez,INHABILITAR
CC,16734062,Pedro Martínez,INHABILITAR
CC,21434047,Carmen Pérez,EMBARGAR
CC,86357860,María Sánchez,INHABILITAR
CC,84594506,José López,EMBARGAR
PA,92949895,Luis Pérez,INHABILITAR
CC,43936615,Luis González,EMBARGAR
CC,35535181,Pedro García,EMBARGAR
CE,85625446,José Sánchez,EMBARGAR
CE,61877092,Ana García,INHABILITAR
CE,77230748,Ana Martínez,INHABILITAR
PA,31145442,María Pérez,EMBARGAR
CE,18197858,Pedro García,INHABILITAR
PA,10511645,Pedro González,EMBARGAR
CE,74644346,María Martínez,EMBARGAR
CE,80312064,María Rodríguez,INHABILITAR
CE,62953531,José Pérez,INHABILITAR
CE,29658653,Juan González,INHABILITAR
CE,01355665,José Martínez,INHABILITAR
PA,79407054,Juan Sánchez,INHABILITAR
CC,07808481,Ana Sánchez,EMBARGAR
CE,27125937,María Sánchez,EMBARGAR
CE,99672454,María López,EMBARGAR
CE,66146466,Luis Martínez,INHABILITAR
PA,25837523,Luis García,INHABILITAR
PA,26827647,Juan Martínez,EMBARGAR
CC,24941900,Ana López,EMBARGAR
PA,82427604,María Rodríguez,EMBARGAR
PA,86823658,Patricia García,EMBARGAR
CC,45097961,Carmen Pérez,INHABILITAR
CE,03202950,Carmen Martínez,INHABILITAR
CE,52037490,Juan Pérez,INHABILITAR
PA,27012394,José Pérez,EMBARGAR
PA,00851566,José García,INHABILITAR
CE,48009197,José González,INHABILITAR
CC,05244648,Carmen González,EMBARGAR
PA,80369865,María González,INHABILITAR
CE,73252474,Luis Rodríguez,EMBARGAR
CC,29796135,María López,EMBARGAR
PA,36328732,María López,EMBARGAR
CC,82284220,Ana Pérez,INHABILITAR
PA,62438888,José García,EMBARGAR
CC,19400709,Luis Rodríguez,EMBARGAR
CE,34234962,Ana López,INHABILITAR
CE,26821989,Patricia Rodríguez,INHABILITAR
CE,71811547,Juan Rodríguez,EMBARGAR
CE,79041770,Ana González,EMBARGAR
CC,95711866,Luis González,INHABILITAR
CE,04521513,Luis González,INHABILITAR
CE,11627924,Luis Martínez,INHABILITAR
PA,19556319,Juan Rodríguez,EMBARGAR
PA,35806697,Pedro García,EMBARGAR
PA,72812901,Luis López,EMBARGAR
PA,16602152,María Sánchez,EMBARGAR
CE,08704318,Pedro López,INHABILITAR
PA,32158258,Patricia García,EMBARGAR
CC,93452344,María García,EMBARGAR
PA,83878640,Carmen López,EMBARGAR
CC,71075218,José López,EMBARGAR
CE,26800660,Ana González,EMBARGAR
CE,22100698,Carmen Sánchez,INHABILITAR
CE,11333112,María Sánchez,EMBARGAR
CC,37666356,Pedro Pérez,INHABILITAR
CC,07968048,Pedro González,EMBARGAR
PA,99510537,María Rodríguez,EMBARGAR
CC,95574593,Juan Rodríguez,INHABILITAR
CC,16816387,María García,EMBARGAR
CE,17700184,Pedro García,INHABILITAR
PA,49019541,Juan Pérez,EMBARGAR
PA,20240037,Juan López,INHABILITAR
CE,13258049,María López,EMBARGAR
CE,58994309,Pedro García,EMBARGAR
CE,02781192,Carmen González,EMBARGAR
CC,54627926,José Pérez,EMBARGAR
CE,05726089,Luis Rodríguez,EMBARGAR
CE,82441316,José Martínez,INHABILITAR
PA,60076397,Juan González,EMBARGAR
PA,79297027,María González,EMBARGAR
CE,16254188,Carmen García,EMBARGAR
CC,86286733,Patricia Sánchez,INHABILITAR
PA,68212802,José Pérez,INHABILITAR
CC,97287832,Patricia González,EMBARGAR
CC,35754027,Pedro López,EMBARGAR
CC,37057618,Patricia López,EMBARGAR
PA,63571578,Ana Rodríguez,INHABILITAR
CC,81924513,Luis González,EMBARGAR
CE,81570832,María Pérez,EMBARGAR
CE,20924977,Juan Rodríguez,EMBARGAR
CE,84724649,Ana Martínez,EMBARGAR
CC,51666251,Luis Martínez,EMBARGAR
PA,71107046,Juan Sánchez,EMBARGAR
CE,04815334,Luis Martínez,EMBARGAR
CC,58867027,Luis Martínez,INHABILITAR
PA,61827078,José Martínez,EMBARGAR
CC,22701848,José Martínez,INHABILITAR
