tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,prePensionado,semanasCotizadas,fondoOrigen,ciudadNacimiento,ciudadResidencia,institucionPublica,tieneCondecoracion,tieneHijosInpec,familiaresPolicia,observacionDisciplinaria,declaranteRenta
PA,89288883,Carmen Sánchez,21/11/1966,false,651,Colfondos,Cartagena,Cartagena,Policía,false,false,true,true,false
CC,03048781,María Pérez,21/11/2003,true,523,Porvenir,Bogotá,Bogotá,Mininterior,true,true,true,true,true
CC,38850187,Pedro López,21/11/1996,false,135,Porvenir,Bogotá,Cali,Mininterior,true,true,true,true,true
CC,20107376,Patricia García,21/11/1966,false,892,Proteccion,Barranquilla,Cali,Mininterior,true,true,false,true,true
PA,20579809,Pedro García,21/11/1962,false,480,Old Mutual,Bogotá,Medellín,Inpec,true,false,true,true,false
PA,06089803,Juan Martínez,21/11/1976,false,657,Proteccion,Barranquilla,Medellín,Policía,false,false,true,true,false
CC,19163399,Patricia López,21/11/2003,false,342,Colfondos,Medellín,Bogotá,Inpec,false,true,false,false,false
CE,43493205,María Martínez,21/11/1967,false,845,Old Mutual,Cali,Barranquilla,Policía,true,false,false,false,false
CC,75955138,Carmen Martínez,21/11/1962,false,583,Proteccion,Cartagena,Bogotá,Ninguna,false,false,false,false,false
CC,95077162,Juan Rodríguez,21/11/1992,false,256,Proteccion,Bogotá,Medellín,Minsalud,false,false,true,false,true
CC,61622067,Juan Sánchez,21/11/1963,false,628,Colfondos,Barranquilla,Cartagena,Inpec,true,false,false,true,true
CC,15058265,María Rodríguez,21/11/1971,false,756,Porvenir,Cartagena,Bogotá,Policía,false,false,false,true,false
CC,10349765,María Rodríguez,21/11/1985,false,641,Old Mutual,Cali,Bogotá,Inpec,true,false,false,false,true
PA,23492832,María González,21/11/1968,false,871,Proteccion,Barranquilla,Cartagena,Ninguna,true,true,true,false,true
PA,59307689,María Pérez,21/11/1984,true,248,Old Mutual,Medellín,Bogotá,Armada,false,true,false,false,true
CC,43994605,Ana García,21/11/1960,false,717,Colfondos,Medellín,Cartagena,Armada,false,false,true,false,false
CE,72903616,Carmen González,21/11/1985,false,704,Porvenir,Barranquilla,Cali,Inpec,false,false,false,false,true
PA,18927011,Luis López,21/11/1972,false,993,Porvenir,Barranquilla,Barranquilla,Mininterior,false,true,false,true,true
CE,66770863,José Pérez,21/11/1975,false,369,Porvenir,Cali,Barranquilla,Mininterior,false,false,true,false,false
CE,95126439,Luis Rodríguez,21/11/2000,false,652,Porvenir,Cali,Barranquilla,Armada,false,false,false,true,true
PA,06405977,Ana Martínez,21/11/1980,false,580,Colfondos,Barranquilla,Barranquilla,Armada,false,false,true,true,true
PA,09311103,María Sánchez,21/11/1991,true,395,Porvenir,Medellín,Cartagena,Mininterior,true,true,true,true,true
PA,33741223,Patricia López,21/11/2001,true,985,Colfondos,Medellín,Medellín,Armada,false,false,true,false,false
